resource,short_name,display_name,year,object_class,no_lift,engines,empty_weight_lb,internal_fuel_lb,max_takeoff_weight_lb,military_thrust_lbf,afterburner_thrust_lbf,top_speed_kt,sea_level_min_kt,sea_level_max_kt,ceiling_ft,g_limit_min,g_limit_max,hit_points,hardpoints,internal_gun,default_stores,hud_resource,shape,archive
A1.PT,A-1,A- 1 Skyraider,1960,0x4000,no,1,10550,4056,25000,10000,0,320,118,296,26000,-3,6,115,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;M61.JT:1;F250.GAS:1;MK82.JT:3;LAU61.JT:1,a7.HUD,kin.SH,FA_2.LIB
A10.PT,A-10,A-10 Thunderbolt,1984,0x8000,no,2,25600,10700,50000,18130,0,450,77,385,22812,-3,6,244,9,GAU8.JT,VIS340.SEE:1;A10R.SEE:1;A10.ECM:1;GAU8.JT:1;PAVESPK.SEE:1;AGM65G.JT:4,f104_c.HUD,a10.SH,FA_2.LIB
A310.PT,A310,Airbus 310,1983,0x4000,no,2,157975,92240,313050,96000,0,498,118,456,46875,-2,4,325,1,,VIS340.SEE:1,ac130.HUD,a310.SH,FA_2.LIB
A37.PT,A-37,A-37 Dragonfly,1963,0x4000,no,2,6211,4056,14000,5700,0,441,101,438,42000,-3,6,95,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;M61.JT:1;MK82.JT:3;F150.GAS:1,a7.HUD,a37.SH,FA_2.LIB
A4E.PT,A-4E,A- 4E Skyhawk,1960,0x4000,no,1,10800,4434,25000,11200,0,598,107,598,39000,-4,7,120,7,MK12.JT,VIS340.SEE:1;F4BR.SEE:1;F4.ECM:1;MK12.JT:1;MK82.JT:1;F150.GAS:1;LAU61.JT:1,f4.HUD,a4.SH,FA_2.LIB
A6.PT,A-6,A- 6E Intruder,1972,0x4000,no,2,26746,15470,58600,18600,0,705,142,563,42000,-2,4,125,7,,VIS240.SEE:1;A6R.SEE:1;A6.ECM:1;AGM65G.JT:4,ac130.HUD,a6.SH,FA_2.LIB
A6V.PT,A-6,A- 6 Intruder,1960,0x4000,no,2,26746,15470,58600,18600,0,711,142,569,41000,-2,4,95,6,,VIS240.SEE:1;A6R.SEE:1;A7.ECM:1;MK82.JT:2;ALQ167.ECM:1,a7.HUD,a6.SH,FA_2.LIB
A7.PT,A-7,A- 7E Corsair II,1969,0x8000,no,1,19127,9900,42000,15000,0,604,142,604,42000,-3,6,106,7,M61.JT,VIS300.SEE:1;A7R.SEE:1;A7.ECM:1;M61.JT:1;AIM9M.JT:1;MK82.JT:1;AGM65G.JT:1,a7.HUD,a7.SH,FA_2.LIB
A7V.PT,A-7A,A- 7A Corsair II,1960,0x8000,no,1,19127,9900,42000,15000,0,604,142,604,42000,-3,6,88,7,M61.JT,VIS300.SEE:1;A7R.SEE:1;A7.ECM:1;M61.JT:1;AIM9M.JT:1;MK82.JT:2,a7.HUD,a7.SH,FA_2.LIB
AC130.PT,AC-130U,AC-130U Spectre,1987,0x4000,no,4,76469,45012,155000,40000,0,338,101,338,34000,-2,3,299,7,C_25.JT;C_40.JT;C_105.JT,VIS300.SEE:1;AC130R.SEE:1;AC130I.SEE:1;AC130.ECM:1;C_25.JT:1;C_40.JT:1;C_105.JT:1,,ac130.SH,FA_2.LIB
AF1.PT,AF1,Air Force One,1990,0x4000,no,4,399000,331880,800000,227000,0,492,124,492,50000,-2,3,388,3,,VIS300.SEE:1;B52R.SEE:1;B52.ECM:1,ac130.HUD,afo.SH,FA_2.LIB
AH1.PT,AH-1,AH- 1 Cobra,1960,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;LAU61.JT:1;AIM9M.JT:1;AV8IR.SEE:1,ac130.HUD,cob.SH,FA_2.LIB
AH64.PT,AH-64,AH-64 Apache,1984,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;LAU61.JT:1;AIM9M.JT:1;AV8IR.SEE:1,ac130.HUD,apa.SH,FA_2.LIB
ALPH.PT,Alpha,Alpha Jet,1978,0x8000,no,2,7749,3593,17637,6350,0,563,118,563,48000,-3,6,136,7,BK27.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;BK27.JT:1;F150.GAS:1;MK82.JT:1;LAU61.JT:1,f14cc.HUD,alpha.SH,FA_2.LIB
AN74.PT,An-74,An-74 Coaler,1990,0x4000,no,2,42000,28550,76060,28660,0,388,101,379,40625,-2,3,156,1,,VIS300.SEE:1,ac130.HUD,an74.SH,FA_2.LIB
ASTOVL.PT,ASTOVL,X-32 ASTOVL,2000,0x8000,no,1,14750,7600,36850,23000,32000,1015,71,687,60000,-4,9,93,9,GAU13.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;GAU13.JT:1;AGM65G.JT:1;AIM120.JT:1;LAU10.JT:1;AIM9X.JT:1,,ast.SH,FA_2.LIB
ASTOVLE.PT,ASTOVL,X-32 (Desert) ASTOVL,2000,0x8000,no,1,14750,7600,36850,23000,32000,1015,71,687,60000,-4,9,93,9,GAU13.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;GAU13.JT:1;AGM65G.JT:1;AIM120.JT:1;LAU10.JT:1;AIM9X.JT:1,,aste.SH,FA_2.LIB
ASTOVLF.PT,ASTOVL,X-32 (Forest) ASTOVL,2000,0x8000,no,1,14750,7600,36850,23000,32000,1015,71,687,60000,-4,9,93,9,GAU13.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;GAU13.JT:1;AGM65G.JT:1;AIM120.JT:1;LAU10.JT:1;AIM9X.JT:1,,astf.SH,FA_2.LIB
ASTOVLV.PT,ASTOVL,X-32 (Snow) ASTOVL,2000,0x8000,no,1,14750,7600,36850,23000,32000,1015,71,687,60000,-4,9,93,9,GAU13.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;GAU13.JT:1;AGM65G.JT:1;AIM120.JT:1;LAU10.JT:1;AIM9X.JT:1,,astv.SH,FA_2.LIB
ATL.PT,ATL2,Atlantique 2 (AIR),1969,0x4000,no,4,169552,42864,332500,84000,0,462,124,462,51000,-2,3,314,3,,VIS300.SEE:1;E3R.SEE:1;B52.ECM:1,ac130.HUD,atl.SH,FA_2.LIB
AURORA.PT,AURORA,Aurora Spy Plane,2000,0x4000,no,4,23050,20000,49224,37988,50000,3211,124,1108,105125,-2,4,116,3,,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1,b2.HUD,aur.SH,FA_2.LIB
AV8.PT,Av-8,Av-8B Harrier II,1992,0x8000,no,1,13968,7759,31000,33800,0,581,101,581,50125,-4,7,85,9,GAU12.JT,VIS340.SEE:1;AV8R.SEE:1;AV8IR.SEE:1;AV8.ECM:1;GAU12.JT:1;AGM65G.JT:2;AIM9M.JT:1;ALQ167.ECM:1,,av8.SH,FA_2.LIB
B1.PT,B-1B,B- 1B Lancer,1985,0x4000,no,4,192000,105000,447000,58400,140000,835,130,664,55000,-2,5,250,8,,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;PAVESPK.SEE:1;AV8IR.SEE:1;MK82AIR.JT:3,bmbrcc.HUD,b1.SH,FA_2.LIB
B2.PT,B-2,B- 2 Spirit,1998,0x4000,no,4,100000,180000,400000,114000,0,498,130,444,49000,-1,3,241,9,,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;PAVESPK.SEE:1;AV8IR.SEE:1;MK82.JT:2;PAVEWA3.JT:2,,b2.SH,FA_2.LIB
B52.PT,B-52,B-52 Stratofortress,1961,0x4000,no,8,235220,199000,488000,120000,0,515,124,385,55000,-2,3,370,7,M61.JT,VIS300.SEE:1;B52R.SEE:1;B52.ECM:1;AGM84E.JT:1;M61.JT:1,bmbroh.HUD,b52.SH,FA_2.LIB
B707.PT,B707,Boeing 707,1960,0x4000,no,4,146400,150000,333600,76000,0,545,124,515,40875,-2,4,325,1,,VIS300.SEE:1,ac130.HUD,b707.SH,FA_2.LIB
B747.PT,B747,Boeing 747,1990,0x4000,no,4,399000,331880,800000,227000,0,492,124,492,50000,-2,4,388,1,,VIS300.SEE:1,ac130.HUD,b747.SH,FA_2.LIB
