resource,short_name,display_name,derived_kind,year,weight_lb,ordnance_bank,seeker_signature,launch_min_nmi,launch_max_nmi,seeker_max_nmi,motor_burn_s,lifetime_s,initial_speed_fts,max_speed_fts,projectiles_in_pod,rounds_per_shot,damage_by_class,fuze_radius_ft,aircraft_default_stations,surface_type_references,shape,fire_sound,archive
20MM_4.JT,20mm,Colt 20mmx4,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,20;2;6;6;20,0,1,0,bullet.SH,&su33gun.11k,FA_2.LIB
2S6.JT,2S6,2S6 Tunguska,gun round,1956,1,one,3,0.01,2.47,8.89,0.0,5.0,3666,3666,1,1,20;2;6;4;20,100,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
AA10.JT,AA-10T,AA-10 Alamo,guided missile,1980,560,one,3,1.97,19.75,19.75,53.0,106.0,0,4400,1,1,170;17;51;34;170,100,3,0,alamo.SH,&hvymiss.11k,FA_2.LIB
AA11.JT,AA-11,AA-11 Archer,guided missile,1987,230,one,2,0.33,9.87,9.87,26.0,52.0,0,4400,1,1,80;8;24;16;80,100,9,0,archr.SH,&ltmiss.11k,FA_2.LIB
AA11B.JT,AA-11B,AA-11B Backfire,guided missile,2000,230,one,2,0.25,9.87,9.87,26.0,52.0,0,4400,1,1,80;8;24;16;80,100,2,0,aa11b.SH,&ltmiss.11k,FA_2.LIB
AA12.JT,AA-12,AA-12 Adder,guided missile,1992,385,one,3,1.97,24.69,24.69,66.0,132.0,0,4400,1,1,150;15;45;30;150,100,7,0,amski.SH,&hvymiss.11k,FA_2.LIB
AA2.JT,AA-2,AA-2D Atoll,guided missile,1966,165,one,2,0.66,3.95,4.94,4.0,20.0,0,4400,1,1,100;10;30;20;100,100,7,0,atoll.SH,&ltmiss.11k,FA_2.LIB
AA6.JT,AA-6,AA-6 Acrid,guided missile,1972,1010,one,3,1.97,14.81,14.81,40.0,80.0,0,4400,1,1,180;18;54;36;180,100,1,0,acrid.SH,&hvymiss.11k,FA_2.LIB
AA8.JT,AA-8,AA-8 Aphid,guided missile,1972,145,one,2,0.66,3.95,4.94,4.0,20.0,0,4400,1,1,70;7;21;14;70,100,11,0,aphid.SH,&ltmiss.11k,FA_2.LIB
AA9.JT,AA-9,AA-9 Amos,guided missile,1984,1080,one,3,1.97,41.15,41.15,132.0,264.0,0,4400,1,1,170;17;51;34;170,100,1,0,amos.SH,&hvymiss.11k,FA_2.LIB
AAA20.JT,20mm AAA,20mm radar AAA,gun round,1956,1,one,3,0.01,1.65,9.87,0.0,5.0,3666,3666,1,1,20;2;6;6;20,50,0,0,bullet.SH,&hvygun.5k,FA_2.LIB
AAA30.JT,30mm AAA,30mm radar AAA,gun round,1956,1,one,3,0.01,2.47,9.87,0.0,5.0,3666,3666,1,1,30;3;9;9;30,50,0,5,bullet.SH,&aaa.5k,FA_2.LIB
AAA30BAD.JT,30mm AAA,30mm visual AAA,gun round,1956,1,one,0,0.01,1.65,3.29,0.0,5.0,3666,3666,1,1,30;3;9;9;30,50,0,7,bullet.SH,&aaa.5k,FA_2.LIB
AAML.JT,AAM-L,AAM-L Anti-AWACS,guided missile,1996,1650,one,3,4.94,74.06,74.06,130.0,270.0,0,5133,1,1,190;19;57;38;190,100,2,0,aaml.SH,&hvymiss.11k,FA_2.LIB
